Id,Date,CalculatedDailySteps
6391747486,2016-04-03,0
6391747486,2016-04-04,0
6391747486,2016-04-05,9766
6391747486,2016-04-06,165
6391747486,2016-04-07,0
6391747486,2016-04-08,0
6391747486,2016-04-09,0
6775888955,2016-03-12,2929
6775888955,2016-03-13,5958
6775888955,2016-03-14,3876
6775888955,2016-03-15,3942
6775888955,2016-03-16,1368
6775888955,2016-03-17,1287
6775888955,2016-03-18,6576
6775888955,2016-03-19,3926
6775888955,2016-03-20,7884
6775888955,2016-03-21,4184
6775888955,2016-03-22,0
6775888955,2016-03-23,0
6775888955,2016-03-24,0
6775888955,2016-03-25,2986
6775888955,2016-03-26,16888
6775888955,2016-03-27,12631
6775888955,2016-03-28,13389
6775888955,2016-03-29,1081
6775888955,2016-03-30,1829
6775888955,2016-03-31,2498
6775888955,2016-04-01,7225
6775888955,2016-04-02,1988
6775888955,2016-04-03,1577
6775888955,2016-04-04,0
6775888955,2016-04-05,8806
6775888955,2016-04-06,11761
6775888955,2016-04-07,13987
6775888955,2016-04-08,4131
6775888955,2016-04-09,14
6962181067,2016-03-12,16671
6962181067,2016-03-13,10236
6962181067,2016-03-14,13999
6962181067,2016-03-15,10156
6962181067,2016-03-16,16236
6962181067,2016-03-17,26100
6962181067,2016-03-18,23071
6962181067,2016-03-19,20424
6962181067,2016-03-20,20053
6962181067,2016-03-21,20329
6962181067,2016-03-22,11051
6962181067,2016-03-23,10384
6962181067,2016-03-24,11332
6962181067,2016-03-25,12494
6962181067,2016-03-26,11885
6962181067,2016-03-27,10141
6962181067,2016-03-28,12472
6962181067,2016-03-29,13063
6962181067,2016-03-30,15491
6962181067,2016-03-31,14097
6962181067,2016-04-01,10467
6962181067,2016-04-02,12437
6962181067,2016-04-03,12307
6962181067,2016-04-04,18952
6962181067,2016-04-05,12010
6962181067,2016-04-06,12480
6962181067,2016-04-07,13417
6962181067,2016-04-08,14358
6962181067,2016-04-09,12495
6962181067,2016-04-10,10148
6962181067,2016-04-11,12362
6962181067,2016-04-12,3433
7007744171,2016-03-12,0
7007744171,2016-03-13,12711
7007744171,2016-03-14,10722
7007744171,2016-03-15,10687
7007744171,2016-03-16,0
7007744171,2016-03-17,13714
7007744171,2016-03-18,11328
7007744171,2016-03-19,6131
7007744171,2016-03-20,15347
7007744171,2016-03-21,15833
7007744171,2016-03-22,15020
7007744171,2016-03-23,12608
7007744171,2016-03-24,14034
7007744171,2016-03-25,13359
7007744171,2016-03-26,7806
7007744171,2016-03-27,8487
7007744171,2016-03-28,7012
7007744171,2016-03-29,5995
7007744171,2016-03-30,13292
7007744171,2016-03-31,10981
7007744171,2016-04-01,11680
7007744171,2016-04-02,10976
7007744171,2016-04-03,16806
7007744171,2016-04-04,15266
7007744171,2016-04-05,12074
7007744171,2016-04-06,13513
7007744171,2016-04-07,14100
7007744171,2016-04-08,12627
7007744171,2016-04-09,10345
7007744171,2016-04-10,10146
7007744171,2016-04-11,12168
7007744171,2016-04-12,4736
7086361926,2016-03-12,3942
7086361926,2016-03-13,1729
7086361926,2016-03-14,5491
7086361926,2016-03-15,11229
7086361926,2016-03-16,8157
7086361926,2016-03-17,7731
7086361926,2016-03-18,7992
7086361926,2016-03-19,10252
7086361926,2016-03-20,3623
7086361926,2016-03-21,7133
